,tname,hydrophobic,nucleophilic,aromatic,acidic,amide,basic
82,Passeriformes,20.81,54.40,0.00,17.53,0.00,7.25
83,Sar,40.67,12.08,8.81,18.79,0.00,19.66
84,Carnivora,25.08,56.86,0.00,9.15,0.00,8.91
85,Feliformia,19.16,56.39,0.00,15.13,0.00,9.33
86,Felidae,26.15,56.99,0.00,7.98,0.00,8.88
87,Ostariophysi,22.12,40.89,0.00,9.01,0.00,27.97
88,Cypriniformes,13.50,63.62,0.00,8.50,6.50,7.88
89,Galloanserae,39.22,41.87,0.00,18.91,0.00,0.00
90,Caulobacterales,42.71,11.11,0.00,18.40,9.03,18.75
91,Caulobacteraceae,42.71,11.11,0.00,18.40,9.03,18.75
92,Chelicerata,10.18,64.74,0.00,7.41,10.26,7.41
93,Arachnida,8.02,65.72,8.65,8.65,8.96,0.00
94,Deltaproteobacteria,20.46,46.88,0.00,27.32,5.35,0.00
95,Myxococcales,19.25,35.20,0.00,45.55,0.00,0.00
96,Cystobacterineae,40.19,42.12,0.00,17.68,0.00,0.00
97,Protacanthopterygii,30.95,54.08,7.99,6.97,0.00,0.00
98,Salmoniformes,29.17,56.38,7.31,7.14,0.00,0.00
99,Salmonidae,29.17,56.38,7.31,7.14,0.00,0.00
100,Salmoninae,29.17,56.38,7.31,7.14,0.00,0.00
101,Spiralia,18.92,44.23,36.85,0.00,0.00,0.00
102,Lophotrochozoa,18.92,44.23,36.85,0.00,0.00,0.00
103,Mollusca,39.20,28.41,27.95,0.00,0.00,4.44
104,Bivalvia,36.48,37.68,25.84,0.00,0.00,0.00
105,Autobranchia,36.48,37.68,25.84,0.00,0.00,0.00
106,Pteriomorphia,36.48,37.68,25.84,0.00,0.00,0.00
107,Mytiloida,8.40,20.91,22.00,0.00,0.00,48.69
108,Mytiloidea,8.40,20.91,22.00,0.00,0.00,48.69
109,Mytilidae,8.40,20.91,22.00,0.00,0.00,48.69
110,Mytilinae,8.40,20.91,22.00,0.00,0.00,48.69
111,Alveolata,20.10,21.30,32.16,8.79,0.00,17.65
112,Apicomplexa,41.12,11.95,9.10,19.08,0.00,18.75
113,Aconoidasida,40.01,21.34,9.22,9.27,9.99,10.17
114,Piroplasmida,59.26,13.25,9.56,8.96,0.00,8.96
115,Babesiidae,22.16,30.97,0.00,38.49,0.00,8.38
116,Babesia,22.16,30.97,0.00,38.49,0.00,8.38
117,Cetacea,21.58,55.00,0.00,17.07,0.00,6.34
118,Whippomorpha,20.00,56.24,0.00,16.83,0.00,6.93
119,Eupercaria,18.61,56.82,0.00,8.92,0.00,15.65
120,Odontoceti,22.05,54.33,0.00,17.77,0.00,5.85
121,Conoidasida,22.48,52.09,0.00,8.95,0.00,16.48
122,Coccidia,22.48,52.09,0.00,8.95,0.00,16.48
123,Eucoccidiorida,22.48,52.09,0.00,8.95,0.00,16.48
124,Eimeriorina,22.48,52.09,0.00,8.95,0.00,16.48
125,Sarcocystidae,49.89,22.76,0.00,17.58,0.00,9.76
126,Chiroptera,22.48,51.51,0.00,19.11,0.00,6.89
127,Microchiroptera,20.49,54.81,0.00,17.55,0.00,7.15
128,Vespertilionidae,35.22,47.32,0.00,17.46,0.00,0.00
129,Ruminantia,28.56,54.99,0.00,7.66,0.00,8.79
130,Pecora,28.56,54.99,0.00,7.66,0.00,8.79
131,Bovidae,27.40,55.34,0.00,7.73,0.00,9.53
132,Bovinae,22.16,54.28,0.00,14.89,0.00,8.68
133,Myomorpha,31.24,53.47,0.00,7.71,0.00,7.58
134,Muroidea,40.10,42.66,0.00,17.24,0.00,0.00
135,Muridae,48.06,34.45,0.00,8.32,0.00,9.18
136,Murinae,40.09,35.65,0.00,16.04,0.00,8.22
137,Perciformes,11.15,50.73,0.00,19.27,0.00,18.85
138,Primates,49.61,23.49,0.00,17.93,0.00,8.97
139,Haplorrhini,48.47,34.64,0.00,8.34,0.00,8.55
140,Catarrhini,30.44,42.83,0.00,8.72,0.00,18.01
141,Cercopithecidae,22.76,50.32,0.00,18.04,0.00,8.88
142,Hominidae,32.74,40.88,0.00,17.92,0.00,8.47
143,Brevundimonas,41.30,21.74,8.70,8.70,19.57,0.00
144,Enterobacterales,36.11,46.83,0.00,0.00,17.05,0.00
145,Unidentata,27.29,53.94,0.00,10.57,8.20,0.00
146,Episquamata,27.46,53.57,0.00,10.56,8.41,0.00
147,Cichlomorphae,12.25,62.95,7.67,9.46,7.67,0.00
148,Cichliformes,12.25,62.95,7.67,9.46,7.67,0.00
149,Cichlidae,12.25,62.95,7.67,9.46,7.67,0.00
150,Enterobacteriaceae,62.10,12.30,8.87,9.27,0.00,7.46
151,Mytilus,10.95,17.90,18.87,0.00,0.00,52.28
152,Caniformia,25.53,57.19,0.00,8.68,0.00,8.60
153,Archaea,29.99,23.27,0.00,46.75,0.00,0.00
154,Peptococcaceae,50.19,34.05,0.00,7.41,8.35,0.00
155,Desulfosporosinus,51.86,34.23,0.00,6.35,7.56,0.00
156,Caulobacter,44.10,16.15,0.00,13.08,14.36,12.31
157,Galliformes,38.97,45.17,0.00,8.61,0.00,7.25
158,Oncorhynchus,14.94,63.33,7.87,0.00,6.89,6.98
159,Clostridioides,58.15,12.98,0.00,9.66,9.12,10.09
160,Clostridium,34.33,38.56,0.00,17.41,9.70,0.00
161,Lactobacillaceae,7.76,49.58,0.00,25.79,0.00,16.86
162,Myxococcaceae,35.63,41.97,0.00,22.39,0.00,0.00
163,Cercopithecinae,22.90,51.33,0.00,17.17,0.00,8.61
164,Hystricomorpha,28.14,55.76,0.00,8.12,0.00,7.98
165,Desulfitobacterium,43.07,33.02,7.63,7.80,8.49,0.00
166,Nitriliruptoria,39.71,35.96,0.00,24.32,0.00,0.00
167,Streptomycetales,29.45,54.11,7.99,8.45,0.00,0.00
168,Streptomycetaceae,39.91,41.51,8.94,9.63,0.00,0.00
169,Vibrionales,24.30,30.11,7.28,38.31,0.00,0.00
170,Vibrionaceae,24.30,30.11,7.28,38.31,0.00,0.00
171,Escherichia,58.99,14.23,9.74,7.49,0.00,9.55
172,Euzebyales,40.81,37.67,0.00,21.52,0.00,0.00
173,unclassified Euzebya,40.12,36.88,0.00,23.00,0.00,0.00
174,Tissierellia,49.54,9.01,0.00,20.88,0.00,20.57
175,Tissierellales,41.55,9.31,8.02,19.77,0.00,21.36
176,Peptoniphilaceae,49.05,8.67,0.00,20.74,0.00,21.54
177,Finegoldia,41.95,9.39,0.00,20.14,8.34,20.18
178,Haemosporida,18.91,21.02,0.00,10.77,30.04,19.26
179,Plasmodiidae,18.91,21.02,0.00,10.77,30.04,19.26
180,Herbiconiux,50.78,23.73,6.54,18.96,0.00,0.00
181,Mus,32.25,43.51,0.00,15.93,0.00,8.31
182,Homo,22.14,50.56,0.00,18.90,0.00,8.39
183,Planococcaceae,60.03,14.09,0.00,10.98,6.10,8.81
184,Kineosporiales,40.58,44.62,0.00,14.80,0.00,0.00
185,Kineosporiaceae,40.58,44.62,0.00,14.80,0.00,0.00
186,Lacticaseibacillus,8.22,42.57,0.00,25.23,6.42,17.57
187,Leifsonia,43.57,39.36,0.00,9.04,0.00,8.03
188,Plasmodium,39.56,12.15,9.22,19.66,0.00,19.41
189,Plasmodium (Laverania),28.55,0.00,0.00,24.31,7.91,39.23
190,Plasmodium (Plasmodium),58.88,12.09,8.56,9.63,0.00,10.83
191,Microbacterium,52.22,20.07,0.00,19.95,0.00,7.76
192,Mobiluncus,49.70,23.94,0.00,17.78,0.00,8.59
193,Ornithinimicrobiaceae,62.50,13.15,5.89,11.63,0.00,6.83
194,Ornithinimicrobium,55.41,20.69,0.00,17.78,0.00,6.13
195,Peptostreptococcus,40.75,10.81,7.70,19.52,0.00,21.23
196,Pseudomonadaceae,49.82,28.64,0.00,15.04,6.50,0.00
197,Pseudomonas,49.82,28.64,0.00,15.04,6.50,0.00
198,Rathayibacter,40.31,37.50,6.89,7.14,0.00,8.16
199,Vibrio,31.81,21.27,7.46,39.46,0.00,0.00
