,Eukaryota,Metazoa,Ecdysozoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Endopterygota,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Total_18_stack
nucleophilic - hydrophobic,0.11757425742574257,0.13367609254498714,0.1289437585733882,0.1289437585733882,0.08819714656290532,0.08819714656290532,0.08819714656290532,0.14774494556765164,0.11135135135135135,0.1354292623941959,0.1175115207373272,0.1421628189550425,0.1421628189550425,0.1652892561983471,0.1652892561983471,0.18496420047732698,0.1145124716553288,0.1145124716553288,0.12807262569832403
hydrophobic - hydrophobic,0.12747524752475248,0.13367609254498714,0.15089163237311384,0.15089163237311384,0.11284046692607004,0.11284046692607004,0.11284046692607004,0.14774494556765164,0.10270270270270271,0.154776299879081,0.11866359447004608,0.12636695018226002,0.12636695018226002,0.13360881542699724,0.13360881542699724,0.12052505966587113,0.08276643990929705,0.08276643990929705,0.12276536312849162
hydrophobic - aromatic,0.12128712871287128,0.10411311053984576,0.13168724279835392,0.13168724279835392,0.11543450064850844,0.11543450064850844,0.11543450064850844,0.15085536547433903,0.12324324324324325,0.1124546553808948,0.11405529953917051,0.11907654921020656,0.11907654921020656,0.10606060606060606,0.10606060606060606,0.10381861575178998,0.08390022675736962,0.08390022675736962,0.11354748603351955
hydrophobic - acidic,0.06311881188118812,0.05398457583547558,0.06584362139917696,0.06584362139917696,0.14137483787289234,0.14137483787289234,0.14137483787289234,0.05443234836702955,0.10486486486486486,0.04232164449818621,0.05414746543778802,0.04374240583232078,0.04374240583232078,0.046831955922865015,0.046831955922865015,0.031026252983293555,0.017006802721088437,0.017006802721088437,0.06466480446927374
hydrophobic - basic,0.04950495049504951,0.06298200514138817,0.07544581618655692,0.07544581618655692,0.06614785992217899,0.06614785992217899,0.06614785992217899,0.05754276827371695,0.06054054054054054,0.08585247883917775,0.0748847926267281,0.07047387606318348,0.07047387606318348,0.05785123966942149,0.05785123966942149,0.06563245823389022,0.05102040816326531,0.05102040816326531,0.06466480446927374
hydrophobic - amide,0.07920792079207921,0.05912596401028278,0.04938271604938271,0.04938271604938271,0.057068741893644616,0.057068741893644616,0.057068741893644616,0.08398133748055987,0.0627027027027027,0.06166868198307134,0.05184331797235023,0.0583232077764277,0.0583232077764277,0.05922865013774105,0.05922865013774105,0.059665871121718374,0.07482993197278912,0.07482993197278912,0.061871508379888265
nucleophilic - aromatic,0.053217821782178217,0.07455012853470437,0.05212620027434842,0.05212620027434842,0.054474708171206226,0.054474708171206226,0.054474708171206226,0.07620528771384137,0.05297297297297297,0.041112454655380895,0.056451612903225805,0.04495747266099635,0.04495747266099635,0.048209366391184574,0.048209366391184574,0.0441527446300716,0.06575963718820861,0.06575963718820861,0.0545391061452514
nucleophilic - acidic,0.04084158415841584,0.02570694087403599,0.03292181069958848,0.03292181069958848,0.0933852140077821,0.0933852140077821,0.0933852140077821,0.02177293934681182,0.043243243243243246,0.056831922611850064,0.07027649769585254,0.060753341433778855,0.060753341433778855,0.06336088154269973,0.06336088154269973,0.050119331742243436,0.032879818594104306,0.032879818594104306,0.05384078212290503
nucleophilic - amide,0.053217821782178217,0.042416452442159386,0.04252400548696845,0.04252400548696845,0.020752269779507133,0.020752269779507133,0.020752269779507133,0.01866251944012442,0.02810810810810811,0.03143893591293833,0.04262672811059908,0.041312272174969626,0.041312272174969626,0.049586776859504134,0.049586776859504134,0.04892601431980907,0.13038548752834467,0.13038548752834467,0.048743016759776533
nucleophilic - nucleophilic,0.06064356435643564,0.05784061696658098,0.027434842249657063,0.027434842249657063,0.041504539559014265,0.041504539559014265,0.041504539559014265,0.026438569206842923,0.024864864864864864,0.036275695284159616,0.044930875576036866,0.05224787363304982,0.05224787363304982,0.03994490358126722,0.03994490358126722,0.0477326968973747,0.03854875283446712,0.03854875283446712,0.04127094972067039
amide - amide,0.019801980198019802,0.033419023136246784,0.024691358024691357,0.024691358024691357,0.023346303501945526,0.023346303501945526,0.023346303501945526,0.013996889580093312,0.036756756756756756,0.016928657799274487,0.03917050691244239,0.03402187120291616,0.03402187120291616,0.03305785123966942,0.03305785123966942,0.0405727923627685,0.09070294784580499,0.09070294784580499,0.03638268156424581
aromatic - amide,0.028465346534653466,0.02956298200514139,0.038408779149519894,0.038408779149519894,0.0311284046692607,0.0311284046692607,0.0311284046692607,0.026438569206842923,0.017297297297297298,0.03506650544135429,0.02880184331797235,0.03645200486026731,0.03645200486026731,0.03305785123966942,0.03305785123966942,0.032219570405727926,0.05442176870748299,0.05442176870748299,0.03435754189944134
nucleophilic - basic,0.034653465346534656,0.042416452442159386,0.03566529492455418,0.03566529492455418,0.016861219195849545,0.016861219195849545,0.016861219195849545,0.024883359253499222,0.032432432432432434,0.032648125755743655,0.03110599078341014,0.03766707168894289,0.03766707168894289,0.03168044077134986,0.03168044077134986,0.045346062052505964,0.021541950113378686,0.021541950113378686,0.030446927374301675
aromatic - acidic,0.024752475247524754,0.017994858611825194,0.01783264746227709,0.01783264746227709,0.011673151750972763,0.011673151750972763,0.011673151750972763,0.02021772939346812,0.02702702702702703,0.032648125755743655,0.03225806451612903,0.02551640340218712,0.02551640340218712,0.03168044077134986,0.03168044077134986,0.02386634844868735,0.021541950113378686,0.021541950113378686,0.02276536312849162
acidic - basic,0.017326732673267328,0.019280205655526992,0.02880658436213992,0.02880658436213992,0.019455252918287938,0.019455252918287938,0.019455252918287938,0.017107309486780714,0.03351351351351351,0.02418379685610641,0.026497695852534562,0.023086269744835967,0.023086269744835967,0.02203856749311295,0.02203856749311295,0.015513126491646777,0.018140589569160998,0.018140589569160998,0.022067039106145252
amide - basic,0.027227722772277228,0.019280205655526992,0.01783264746227709,0.01783264746227709,0.019455252918287938,0.019455252918287938,0.019455252918287938,0.01866251944012442,0.02054054054054054,0.018137847642079808,0.018433179723502304,0.012150668286755772,0.012150668286755772,0.011019283746556474,0.011019283746556474,0.025059665871121718,0.04081632653061224,0.04081632653061224,0.020879888268156423
