block_size,nucleophilic,hydrophobic,aromatic,acidic,amide,basic
1.0,0.7144540060626087,0.7403812470808033,0.8804023305023334,0.819570111719978,0.879450841452613,0.8299038803844785
2.0,0.1939747439194334,0.19167445119103224,0.09919128090669295,0.1392889002166433,0.09994095069382934,0.13205173845971283
3.0,0.05865789360265491,0.047422349369453526,0.015768573002116003,0.0270804128966484,0.016179509890758784,0.030402278390886436
4.0,0.020515178071171,0.013194768799626343,0.003565320733934317,0.008007306401597213,0.0025686448184233835,0.005719710454491515
5.0,0.007326849311132501,0.003955511443250817,0.0006956723383286473,0.0034620449428656385,0.0008266902863891349,0.0010917289664174677
6.0,0.0025428477020989267,0.0016785380663241476,0.00017391808458216181,0.0011256955949195022,0.0005609684086211987,0.0005458644832087338
7.0,0.0014366371198299022,0.0011092947220924802,5.79726948607206e-05,0.0006796652648570579,0.0001771479185119575,0.00018986590720303784
8.0,0.0006752194463200541,0.00042328351237739376,2.89863474303603e-05,0.0002973535533749628,0.00011809861234130499,0.0
9.0,0.00024422831037108336,7.297991592713685e-05,2.89863474303603e-05,0.0002973535533749628,0.00014762326542663124,9.493295360151892e-05
10.0,0.00017239645437958827,8.757589911256423e-05,8.695904229108091e-05,0.00019115585574104753,2.9524653085326247e-05,0.0
