block_size,nucleophilic,hydrophobic,aromatic,acidic,amide,basic
1.0,0.7131445170660857,0.7402562494400143,0.8844715966080058,0.8199120247375985,0.8847782072519786,0.829541025141298
2.0,0.19438886665777422,0.1917689573813577,0.09638004923862496,0.13869169461260397,0.09752132032640039,0.13230851685831221
3.0,0.05907548204466972,0.04742705253412179,0.014619616425032674,0.027307173032533428,0.014571446100987791,0.030427791853439877
4.0,0.020763861099995555,0.013290326434309949,0.003495334488313425,0.008122468533600453,0.001871280446653169,0.005798090040927694
5.0,0.007469654528478058,0.003927366126093838,0.0006382784717789732,0.0034841688079787466,0.0005828578440395117,0.0010719158058857922
6.0,0.002549167815274258,0.0016724905175760833,0.00018236527765113522,0.0011105788075432255,0.0005215043867721946,0.0005603196258039369
7.0,0.0014820743112059639,0.0010602395245348387,6.078842588371174e-05,0.0006968337615957494,0.0,0.00019489378288832586
8.0,0.000696574926266803,0.0004330555804438073,3.039421294185587e-05,0.0003048647706981403,0.00012270691453463402,0.0
9.0,0.0002519526329050139,7.46647552489323e-05,3.039421294185587e-05,0.00023953660554853882,3.0676728633658504e-05,9.744689144416293e-05
10.0,0.00017784891734471566,8.959770629871875e-05,9.118263882556761e-05,0.000130656330299203,0.0,0.0
