block_size,nucleophilic,hydrophobic,aromatic,acidic,amide,basic
1.0,0.7594059860263978,0.7432156011369554,0.8991648219430463,0.8456601332982548,0.8724198114080259,0.8569204939319324
2.0,0.17099864968474082,0.182131305177163,0.08875917074385836,0.12458648796125776,0.11026586657950403,0.1196286874382466
3.0,0.0514420663075627,0.050987306507375776,0.010902904088471535,0.022944741637190992,0.014953067857341087,0.019377559811963686
4.0,0.012510129591951746,0.01671040577764113,0.0009935657920091742,0.004558376450641644,0.0018170016466336517,0.003008363440768085
5.0,0.0036927625151414846,0.003794165260113068,0.00012407822568137275,0.00145734066083974,0.00036463376277374516,0.0008064916457393644
6.0,0.0010767772951015765,0.0013341343891374324,4.041942200226537e-05,0.0005176513003400665,0.00010098736347433533,0.0001482421406165105
7.0,0.0004606486235560737,0.0010945235391189223,7.519892465537743e-06,0.00012728131973067515,3.623210750605924e-05,7.684110958562241e-05
8.0,0.00020582172541867122,0.0004192209470863948,4.6999327909610896e-06,9.135022947177643e-05,2.698135665344837e-05,1.4960216025519409e-05
9.0,0.00012251293179682811,0.00021490465762707611,9.399865581922179e-07,3.8976097907957946e-05,6.167167235073914e-06,9.520137470785078e-06
10.0,8.464529833235398e-05,9.843260778174471e-05,1.8799731163844357e-06,1.7661044364543444e-05,9.25075085261087e-06,8.840127651443286e-06
