,tname,hydrophobic,nucleophilic,aromatic,acidic,amide,basic,small
0,Total,26.34769822200634,18.11177032213094,7.132515445585587,11.81827671605558,8.958391535267095,10.366211878810736,17.265135880143724
1,Bacteria,26.86347527811886,17.073723268161856,6.813734076357803,11.96615861639956,8.912290603650789,9.19842798205485,19.172190175256283
2,Eukaryota,25.55076776486295,19.75097538283603,7.613095012767613,11.483111265814097,9.029304418237267,12.198525376880788,14.374220778601254
3,Archaea,26.27166300291396,15.41587853381729,7.825520167680589,20.792648637595214,8.830070037319155,7.808905475180206,13.055314145493584
4,Viruses,28.72289156626506,12.313253012048193,10.843373493975903,11.759036144578314,13.25301204819277,11.855421686746988,11.25301204819277
5,other sequences,25.682364587752794,19.12035072832697,8.358082308018668,10.550134351576864,8.160090510535992,12.346202800169706,15.782774713619007
