,name,ratio
0,Bacteria,0.5095866119915771
1,Proteobacteria,0.5475099297280782
2,Betaproteobacteria,0.618129614438064
3,Burkholderiales,0.6149312377210217
4,Firmicutes,0.47767393561786087
5,Bacilli,0.44510385756676557
6,Bacillales,0.4165497896213184
7,Bacillaceae,0.42276422764227645
8,Bacillus,0.43355855855855857
9,Eukaryota,0.41580330910777796
10,Clostridia,0.4517601043024772
11,Clostridiales,0.4327073552425665
12,Peptostreptococcaceae,0.431858407079646
13,Bacteroidetes,0.39986868023637556
14,Flavobacteriia,0.3647752394988946
15,Flavobacteriales,0.3647752394988946
16,Flavobacteriaceae,0.41244239631336405
17,Actinobacteria,0.4778688524590164
18,Propionibacteriales,0.46622369878183834
19,Propionibacteriaceae,0.45184518451845185
20,Cutibacterium,0.4442307692307692
21,Gammaproteobacteria,0.569377990430622
22,Metazoa,0.4301338322060728
23,Ecdysozoa,0.5152046783625731
24,Arthropoda,0.5167617689015692
25,Hexapoda,0.422761048103246
26,Insecta,0.4458128078817734
27,Pterygota,0.4458128078817734
28,Neoptera,0.4458128078817734
29,Alphaproteobacteria,0.417910447761194
30,Holometabola,0.45088408644400785
31,Pseudomonadales,0.6057755414570116
32,Crustacea,0.5239130434782608
33,Multicrustacea,0.47007042253521125
34,Actinomycetales,0.4478925428439092
35,Actinomycetaceae,0.4478925428439092
36,Chordata,0.47651006711409394
37,Craniata,0.42405745062836625
38,Vertebrata,0.42405745062836625
39,Euteleostomi,0.4393586005830904
40,Archelosauria,0.4166313109885448
41,Archosauria,0.4332278481012658
42,Dinosauria,0.4447408536585366
43,Saurischia,0.4447408536585366
44,Theropoda,0.4447408536585366
45,Coelurosauria,0.4447408536585366
46,Aves,0.4447408536585366
47,Neognathae,0.43267728834739144
48,Coriobacteriia,0.5009107468123861
49,Lepidosauria,0.4338046272493573
50,Squamata,0.4338046272493573
51,Bifurcata,0.4338046272493573
52,Gekkota,0.45612708018154313
53,Gekkonidae,0.43778110944527737
54,Lactobacillales,0.5627836611195158
55,Viridiplantae,0.4351687388987567
56,Streptophyta,0.44914491449144917
57,Embryophyta,0.44914491449144917
58,Tracheophyta,0.44914491449144917
59,Spermatophyta,0.40935192780968005
60,Mammalia,0.45794392523364486
61,Eutheria,0.432840616966581
62,Gekkoninae,0.4418423106947697
63,Cellvibrionales,0.47732558139534886
64,Micrococcales,0.4839779005524862
65,Microbacteriaceae,0.509915014164306
66,Oceanospirillales,0.4857046754120417
67,Alteromonadales,0.49745762711864405
68,Clostridiaceae,0.4785425101214575
69,Laurasiatheria,0.4395782643957826
70,Artiodactyla,0.4855263157894737
71,Euarchontoglires,0.4619445666520018
72,Glires,0.4730899510726383
73,Rodentia,0.4976303317535545
74,Actinopterygii,0.4524660471765547
75,Neopterygii,0.42890551917680075
76,Teleostei,0.4821917808219178
77,Neoteleostei,0.40913385826771653
78,Acanthomorphata,0.40913385826771653
79,Ovalentaria,0.42266890005583474
80,Atherinomorphae,0.45260347129506007
81,Cyprinodontiformes,0.4997416020671835
82,Passeriformes,0.4829024186822352
83,Sar,0.35978169605373633
84,Carnivora,0.4700460829493088
85,Feliformia,0.4663009404388715
86,Felidae,0.47022428460943544
87,Ostariophysi,0.4641932700603969
88,Cypriniformes,0.47253396337861786
89,Galloanserae,0.4077432856644576
90,Caulobacterales,0.43636363636363634
91,Caulobacteraceae,0.43636363636363634
92,Chelicerata,0.5526552655265526
93,Arachnida,0.4789156626506024
94,Deltaproteobacteria,0.5234874107478391
95,Myxococcales,0.5201793721973094
96,Cystobacterineae,0.47553516819571867
97,Protacanthopterygii,0.46190102120974075
98,Salmoniformes,0.497883149872989
99,Salmonidae,0.497883149872989
100,Salmoninae,0.497883149872989
101,Spiralia,0.5409356725146199
102,Lophotrochozoa,0.5409356725146199
103,Mollusca,0.6609311740890689
104,Bivalvia,0.7327188940092166
105,Autobranchia,0.7327188940092166
106,Pteriomorphia,0.7327188940092166
107,Mytiloida,0.7282894736842105
108,Mytiloidea,0.7282894736842105
109,Mytilidae,0.7282894736842105
110,Mytilinae,0.7282894736842105
111,Alveolata,0.39066161889309536
112,Apicomplexa,0.35555555555555557
113,Aconoidasida,0.3373445647813879
114,Piroplasmida,0.3811710677382319
115,Babesiidae,0.3977401129943503
116,Babesia,0.3977401129943503
117,Cetacea,0.5173370319001387
118,Whippomorpha,0.5174154467440687
119,Eupercaria,0.46203492786636297
120,Odontoceti,0.5333988212180747
121,Conoidasida,0.4318980667838313
122,Coccidia,0.4318980667838313
123,Eucoccidiorida,0.4318980667838313
124,Eimeriorina,0.4318980667838313
125,Sarcocystidae,0.4327731092436975
126,Chiroptera,0.48749386954389407
127,Microchiroptera,0.5048543689320388
128,Vespertilionidae,0.5134488942020323
129,Ruminantia,0.47025673137132123
130,Pecora,0.47025673137132123
131,Bovidae,0.462819089900111
132,Bovinae,0.4588488434642281
133,Myomorpha,0.4638648860958366
134,Muroidea,0.45977011494252873
135,Muridae,0.4315004659832246
136,Murinae,0.44682793245093566
137,Perciformes,0.3764705882352941
138,Primates,0.4304812834224599
139,Haplorrhini,0.42283519553072624
140,Catarrhini,0.4314623902252768
141,Cercopithecidae,0.44732174529975166
142,Hominidae,0.4215102974828375
143,Brevundimonas,0.4394904458598726
144,Enterobacterales,0.5663875598086124
145,Unidentata,0.46277372262773725
146,Episquamata,0.45985401459854014
147,Cichlomorphae,0.4835082458770615
148,Cichliformes,0.4835082458770615
149,Cichlidae,0.4835082458770615
150,Enterobacteriaceae,0.4584103512014787
151,Mytilus,0.6571632216678546
