,name,ratio
173,unclassified Euzebya,0.544360902255639
174,Tissierellia,0.41723136495643753
175,Tissierellales,0.40826330532212884
176,Peptoniphilaceae,0.4186120882635114
177,Finegoldia,0.4151556156968877
178,Haemosporida,0.3327505827505827
179,Plasmodiidae,0.3327505827505827
180,Herbiconiux,0.5381861575178998
181,Mus,0.4505981391227293
182,Homo,0.41878322504430004
183,Planococcaceae,0.47736093143596375
184,Kineosporiales,0.6126373626373627
185,Kineosporiaceae,0.6126373626373627
186,Lacticaseibacillus,0.6073871409028728
187,Leifsonia,0.44945848375451264
188,Plasmodium,0.35433526011560695
189,Plasmodium (Laverania),0.37829065993508837
190,Plasmodium (Plasmodium),0.3915187376725838
191,Microbacterium,0.4699074074074074
192,Mobiluncus,0.4656758669497523
193,Ornithinimicrobiaceae,0.5280122793553338
194,Ornithinimicrobium,0.5127931769722814
195,Peptostreptococcus,0.39838909541511774
196,Pseudomonadaceae,0.611759104975006
197,Pseudomonas,0.611759104975006
198,Rathayibacter,0.47804878048780486
199,Vibrio,0.4123076923076923
