,species,length
5752,Bacteria,677
5753,Bacteria,705
5754,Bacteria,1814
5755,Bacteria,333
5756,Bacteria,546
5757,Bacteria,557
5758,Bacteria,458
5759,Bacteria,580
5760,Bacteria,1109
5761,Bacteria,1197
5762,Bacteria,350
5763,Bacteria,636
5764,Bacteria,518
5765,Bacteria,606
5766,Bacteria,506
5767,Bacteria,860
5768,Bacteria,629
5769,Bacteria,387
5770,Bacteria,482
5771,Bacteria,482
5772,Bacteria,338
5773,Bacteria,338
5774,Bacteria,179
5775,Bacteria,179
5776,Bacteria,238
5777,Bacteria,283
5778,Bacteria,593
5779,Bacteria,81
5780,Bacteria,81
5781,Bacteria,146
5782,Bacteria,207
5783,Bacteria,252
5784,Bacteria,252
5785,Bacteria,236
5786,Bacteria,420
5787,Bacteria,471
5788,Bacteria,592
5789,Bacteria,188
5790,Bacteria,188
5791,Bacteria,556
5792,Bacteria,752
5793,Bacteria,1108
5794,Bacteria,568
5795,Bacteria,442
5796,Bacteria,521
5797,Bacteria,592
5798,Bacteria,1104
5799,Bacteria,486
5800,Bacteria,1261
5801,Bacteria,462
5802,Bacteria,463
5803,Bacteria,355
5804,Bacteria,610
5805,Bacteria,578
5806,Bacteria,576
5807,Bacteria,329
5808,Bacteria,578
5809,Bacteria,688
5810,Bacteria,404
5811,Bacteria,362
5812,Bacteria,1543
5813,Bacteria,371
5814,Bacteria,553
5815,Bacteria,407
5816,Bacteria,507
5817,Bacteria,152
5818,Bacteria,1485
5819,Bacteria,397
5820,Bacteria,1284
5821,Bacteria,1068
5822,Bacteria,996
5823,Bacteria,494
5824,Bacteria,449
5825,Bacteria,767
5826,Bacteria,484
5827,Bacteria,1218
5828,Bacteria,81
5829,Bacteria,609
5830,Bacteria,538
5831,Bacteria,516
5832,Bacteria,429
5833,Bacteria,1355
5834,Bacteria,391
5835,Bacteria,472
5836,Bacteria,347
5837,Bacteria,252
5838,Bacteria,521
5839,Bacteria,1305
5840,Bacteria,1172
5841,Bacteria,688
5842,Bacteria,636
5843,Bacteria,575
5844,Bacteria,347
5845,Bacteria,507
5846,Bacteria,350
5847,Bacteria,527
5848,Bacteria,422
5849,Bacteria,1174
5850,Bacteria,1367
5851,Bacteria,350
5852,Bacteria,1106
5853,Bacteria,634
5854,Bacteria,511
5855,Bacteria,695
5856,Bacteria,931
5857,Bacteria,957
5858,Bacteria,518
5859,Bacteria,624
5860,Bacteria,547
5861,Bacteria,237
5862,Bacteria,446
5863,Bacteria,500
5864,Bacteria,529
5865,Bacteria,715
5866,Bacteria,516
5867,Bacteria,546
5868,Bacteria,448
5869,Bacteria,485
5870,Bacteria,406
5871,Bacteria,927
5872,Bacteria,685
5873,Bacteria,362
5874,Bacteria,636
5875,Bacteria,636
5876,Bacteria,641
5877,Bacteria,1529
5878,Bacteria,672
5879,Bacteria,672
5880,Bacteria,1516
5881,Bacteria,685
5882,Bacteria,927
5883,Bacteria,636
5884,Bacteria,636
5885,Bacteria,1529
5886,Bacteria,672
5887,Bacteria,372
5888,Bacteria,1136
5889,Bacteria,406
5890,Bacteria,641
5891,Bacteria,641
5892,Bacteria,1251
5893,Bacteria,412
5894,Bacteria,676
5895,Bacteria,689
5896,Bacteria,362
5897,Bacteria,461
5898,Bacteria,412
5899,Bacteria,641
5900,Bacteria,548
5901,Bacteria,672
5902,Bacteria,858
5903,Bacteria,1529
5904,Bacteria,362
5905,Bacteria,362
5906,Bacteria,647
5907,Bacteria,412
5908,Bacteria,1114
5909,Bacteria,673
5910,Bacteria,362
5911,Bacteria,636
5912,Bacteria,406
5913,Bacteria,362
5914,Bacteria,685
5915,Bacteria,927
5916,Bacteria,362
5917,Bacteria,406
5918,Bacteria,1104
5919,Bacteria,685
5920,Bacteria,1260
5921,Bacteria,641
5922,Bacteria,672
5923,Bacteria,672
5924,Bacteria,1234
5925,Bacteria,641
5926,Bacteria,672
5927,Bacteria,1077
5928,Bacteria,1529
5929,Bacteria,636
5930,Bacteria,458
5931,Bacteria,352
5932,Bacteria,1128
5933,Bacteria,685
5934,Bacteria,1279
5935,Bacteria,362
5936,Bacteria,412
5937,Bacteria,636
5938,Bacteria,484
5939,Bacteria,362
5940,Bacteria,193
5941,Bacteria,685
5942,Bacteria,362
5943,Bacteria,352
5944,Bacteria,1156
5945,Bacteria,672
5946,Bacteria,581
5947,Bacteria,641
5948,Bacteria,484
5949,Bacteria,567
5950,Bacteria,412
5951,Bacteria,371
5952,Bacteria,352
5953,Bacteria,575
5954,Bacteria,484
5955,Bacteria,362
5956,Bacteria,688
5957,Bacteria,362
5958,Bacteria,1239
5959,Bacteria,685
5960,Bacteria,673
5961,Bacteria,927
5962,Bacteria,1258
5963,Bacteria,1529
5964,Bacteria,636
5965,Bacteria,484
5966,Bacteria,636
5967,Bacteria,621
5968,Bacteria,672
5969,Bacteria,641
5970,Bacteria,412
5971,Bacteria,1581
5972,Bacteria,362
5973,Bacteria,585
5974,Bacteria,581
5975,Bacteria,1056
5976,Bacteria,673
5977,Bacteria,581
5978,Bacteria,583
5979,Bacteria,517
5980,Bacteria,362
5981,Bacteria,472
5982,Bacteria,260
5983,Bacteria,416
5984,Bacteria,922
5985,Bacteria,775
5986,Bacteria,517
5987,Bacteria,631
5988,Bacteria,489
5989,Bacteria,922
5990,Bacteria,517
5991,Bacteria,775
5992,Bacteria,624
5993,Bacteria,517
5994,Bacteria,775
5995,Bacteria,622
5996,Bacteria,922
5997,Bacteria,768
5998,Bacteria,517
5999,Bacteria,625
6000,Bacteria,998
6001,Bacteria,775
6002,Bacteria,624
6003,Bacteria,922
6004,Bacteria,517
6005,Bacteria,508
6006,Bacteria,592
6007,Bacteria,584
6008,Bacteria,585
6009,Bacteria,871
6010,Bacteria,462
6011,Bacteria,667
6012,Bacteria,492
6013,Bacteria,648
6014,Bacteria,1299
6015,Bacteria,405
6016,Bacteria,592
6017,Bacteria,584
6018,Bacteria,570
6019,Bacteria,871
6020,Bacteria,479
6021,Bacteria,353
6022,Bacteria,499
6023,Bacteria,464
6024,Bacteria,667
6025,Bacteria,492
6026,Bacteria,649
6027,Bacteria,508
6028,Bacteria,698
6029,Bacteria,656
6030,Bacteria,353
6031,Bacteria,479
6032,Bacteria,657
6033,Bacteria,649
6034,Bacteria,698
6035,Bacteria,492
6036,Bacteria,667
6037,Bacteria,462
6038,Bacteria,499
6039,Bacteria,512
6040,Bacteria,584
6041,Bacteria,585
6042,Bacteria,871
6043,Bacteria,698
6044,Bacteria,462
6045,Bacteria,667
6046,Bacteria,512
6047,Bacteria,592
6048,Bacteria,584
6049,Bacteria,585
6050,Bacteria,871
6051,Bacteria,492
6052,Bacteria,499
6053,Bacteria,499
6054,Bacteria,512
6055,Bacteria,585
6056,Bacteria,499
6057,Bacteria,492
6058,Bacteria,303
6059,Bacteria,405
6060,Bacteria,1299
6061,Bacteria,270
6062,Bacteria,585
6063,Bacteria,871
6064,Bacteria,353
6065,Bacteria,462
6066,Bacteria,667
6067,Bacteria,656
6068,Bacteria,871
6069,Bacteria,1300
6070,Bacteria,1320
6071,Bacteria,592
6072,Bacteria,584
6073,Bacteria,585
6074,Bacteria,657
6075,Bacteria,462
6076,Bacteria,667
6077,Bacteria,1276
6078,Bacteria,512
6079,Bacteria,492
6080,Bacteria,656
6081,Bacteria,492
6082,Bacteria,650
6083,Bacteria,585
6084,Bacteria,464
6085,Bacteria,667
6086,Bacteria,1324
6087,Bacteria,507
6088,Bacteria,592
6089,Bacteria,584
6090,Bacteria,508
6091,Bacteria,667
6092,Bacteria,462
6093,Bacteria,657
6094,Bacteria,676
6095,Bacteria,492
6096,Bacteria,462
6097,Bacteria,667
6098,Bacteria,512
6099,Bacteria,592
6100,Bacteria,584
6101,Bacteria,585
6102,Bacteria,871
6103,Bacteria,353
6104,Bacteria,656
6105,Bacteria,492
6106,Bacteria,657
6107,Bacteria,871
6108,Bacteria,584
6109,Bacteria,605
6110,Bacteria,353
6111,Bacteria,667
6112,Bacteria,648
6113,Bacteria,584
6114,Bacteria,507
6115,Bacteria,584
6116,Bacteria,592
6117,Bacteria,1290
6118,Bacteria,508
6119,Bacteria,464
6120,Bacteria,667
6121,Bacteria,656
6122,Bacteria,584
6123,Bacteria,585
6124,Bacteria,871
6125,Bacteria,656
6126,Bacteria,1336
6127,Bacteria,405
6128,Bacteria,592
6129,Bacteria,584
6130,Bacteria,570
6131,Bacteria,871
6132,Bacteria,464
6133,Bacteria,667
6134,Bacteria,649
6135,Bacteria,347
6136,Bacteria,405
6137,Bacteria,592
6138,Bacteria,871
6139,Bacteria,464
6140,Bacteria,667
6141,Bacteria,649
6142,Bacteria,347
6143,Bacteria,698
6144,Bacteria,440
6145,Bacteria,499
6146,Bacteria,1143
6147,Bacteria,517
6148,Bacteria,440
6149,Bacteria,698
6150,Bacteria,517
6151,Bacteria,78
6152,Bacteria,499
6153,Bacteria,517
6154,Bacteria,698
6155,Bacteria,499
6156,Bacteria,517
6157,Bacteria,479
6158,Bacteria,440
6159,Bacteria,492
6160,Bacteria,479
6161,Bacteria,698
6162,Bacteria,492
6163,Bacteria,517
6164,Bacteria,479
6165,Bacteria,479
6166,Bacteria,492
6167,Bacteria,698
6168,Bacteria,440
6169,Bacteria,517
6170,Bacteria,698
6171,Bacteria,698
6172,Bacteria,479
6173,Bacteria,499
6174,Bacteria,517
6175,Bacteria,492
6176,Bacteria,440
6177,Bacteria,698
6178,Bacteria,499
6179,Bacteria,698
6180,Bacteria,998
6181,Bacteria,886
6182,Bacteria,750
6183,Bacteria,509
6184,Bacteria,731
6185,Bacteria,1317
6186,Bacteria,583
6187,Bacteria,498
6188,Bacteria,858
6189,Bacteria,684
6190,Bacteria,785
6191,Bacteria,442
6192,Bacteria,1355
6193,Bacteria,191
6194,Bacteria,386
6195,Bacteria,298
6196,Bacteria,593
6197,Bacteria,684
6198,Bacteria,1104
6199,Bacteria,509
6200,Bacteria,498
6201,Bacteria,524
6202,Bacteria,1177
6203,Bacteria,1930
6204,Bacteria,434
6205,Bacteria,480
6206,Bacteria,1877
6207,Bacteria,1930
6208,Bacteria,607
6209,Bacteria,480
6210,Bacteria,714
6211,Bacteria,434
6212,Bacteria,1808
6213,Bacteria,607
6214,Bacteria,715
6215,Bacteria,802
6216,Bacteria,1445
6217,Bacteria,339
6218,Bacteria,442
6219,Bacteria,758
6220,Bacteria,962
6221,Bacteria,433
6222,Bacteria,444
6223,Bacteria,570
6224,Bacteria,485
6225,Bacteria,758
6226,Bacteria,604
6227,Bacteria,445
6228,Bacteria,433
6229,Bacteria,1174
6230,Bacteria,339
6231,Bacteria,433
6232,Bacteria,758
6233,Bacteria,485
6234,Bacteria,433
6235,Bacteria,1111
6236,Bacteria,1258
6237,Bacteria,596
6238,Bacteria,1202
6239,Bacteria,1102
6240,Bacteria,580
6241,Bacteria,433
6242,Bacteria,578
6243,Bacteria,758
6244,Bacteria,962
6245,Bacteria,758
6246,Bacteria,758
6247,Bacteria,349
6248,Bacteria,986
6249,Bacteria,445
6250,Bacteria,491
6251,Bacteria,435
6252,Bacteria,469
6253,Bacteria,552
6254,Bacteria,339
6255,Bacteria,973
6256,Bacteria,349
6257,Bacteria,347
6258,Bacteria,996
6259,Bacteria,339
6260,Bacteria,140
6261,Bacteria,198
6262,Bacteria,1047
6263,Bacteria,347
6264,Bacteria,758
6265,Bacteria,347
6266,Bacteria,996
6267,Bacteria,552
6268,Eukaryota,1216
6269,Eukaryota,561
6270,Eukaryota,560
6271,Eukaryota,531
6272,Eukaryota,284
6273,Eukaryota,815
6274,Eukaryota,337
6275,Eukaryota,415
6276,Eukaryota,415
6277,Eukaryota,397
6278,Eukaryota,1212
6279,Eukaryota,2555
6280,Eukaryota,377
6281,Eukaryota,1234
6282,Eukaryota,339
6283,Eukaryota,131
6284,Eukaryota,121
6285,Eukaryota,124
6286,Eukaryota,148
6287,Eukaryota,345
6288,Eukaryota,346
6289,Eukaryota,131
6290,Eukaryota,99
6291,Eukaryota,124
6292,Eukaryota,147
6293,Eukaryota,345
6294,Eukaryota,346
6295,Eukaryota,131
6296,Eukaryota,122
6297,Eukaryota,124
6298,Eukaryota,146
6299,Eukaryota,339
6300,Eukaryota,181
6301,Eukaryota,131
6302,Eukaryota,121
6303,Eukaryota,125
6304,Eukaryota,346
6305,Eukaryota,343
6306,Eukaryota,346
6307,Eukaryota,131
6308,Eukaryota,117
6309,Eukaryota,125
6310,Eukaryota,148
6311,Eukaryota,344
6312,Eukaryota,340
6313,Eukaryota,131
6314,Eukaryota,121
6315,Eukaryota,124
6316,Eukaryota,144
6317,Eukaryota,345
6318,Eukaryota,451
6319,Eukaryota,442
6320,Eukaryota,279
6321,Eukaryota,265
6322,Eukaryota,179
6323,Eukaryota,179
6324,Eukaryota,337
6325,Eukaryota,265
6326,Eukaryota,390
6327,Eukaryota,430
6328,Eukaryota,317
6329,Eukaryota,337
6330,Eukaryota,390
6331,Eukaryota,474
6332,Eukaryota,367
6333,Eukaryota,294
6334,Eukaryota,480
6335,Eukaryota,2577
6336,Eukaryota,2576
6337,Eukaryota,2323
6338,Eukaryota,323
6339,Eukaryota,567
6340,Eukaryota,535
6341,Eukaryota,864
6342,Eukaryota,565
6343,Eukaryota,565
6344,Eukaryota,2545
6345,Eukaryota,813
6346,Eukaryota,783
6347,Eukaryota,1016
6348,Eukaryota,1075
6349,Eukaryota,928
6350,Eukaryota,904
6351,Eukaryota,686
6352,Eukaryota,1126
6353,Eukaryota,1118
6354,Eukaryota,872
6355,Eukaryota,1356
6356,Eukaryota,342
6357,Eukaryota,345
6358,Eukaryota,345
6359,Eukaryota,347
6360,Eukaryota,347
6361,Eukaryota,619
6362,Eukaryota,315
6363,Eukaryota,315
6364,Eukaryota,820
6365,Eukaryota,703
6366,Eukaryota,680
6367,Eukaryota,644
6368,Eukaryota,626
6369,Eukaryota,2590
6370,Eukaryota,808
6371,Bacteria,684
6372,Bacteria,638
6373,Bacteria,626
6374,Eukaryota,743
6375,Eukaryota,742
6376,Eukaryota,699
6377,Eukaryota,493
6378,Eukaryota,429
6379,Eukaryota,361
6380,Eukaryota,340
6381,Eukaryota,321
6382,Eukaryota,2568
6383,Eukaryota,235
6384,Eukaryota,402
6385,Eukaryota,901
6386,Eukaryota,299
6387,Eukaryota,895
6388,Eukaryota,887
6389,Bacteria,1386
6390,Bacteria,806
6391,Bacteria,1328
6392,Bacteria,1329
6393,Bacteria,1168
6394,Bacteria,1480
6395,Bacteria,1098
6396,Bacteria,1472
6397,Bacteria,1362
6398,Bacteria,1316
6399,Bacteria,1322
6400,Bacteria,1389
6401,Bacteria,3505
6402,Bacteria,1398
6403,Bacteria,805
6404,Bacteria,1401
6405,Bacteria,1354
6406,Bacteria,1479
6407,Bacteria,1122
6408,Bacteria,367
6409,Bacteria,1487
6410,Bacteria,1017
6411,Bacteria,1482
6412,Bacteria,1388
6413,Bacteria,1487
6414,Bacteria,594
6415,Bacteria,1382
6416,Bacteria,1403
6417,Eukaryota,40
6418,Eukaryota,40
6419,Eukaryota,40
6420,Eukaryota,67
6421,Eukaryota,67
6422,Eukaryota,67
6423,Eukaryota,493
6424,Eukaryota,429
6425,Eukaryota,363
6426,Eukaryota,734
6427,Eukaryota,691
6428,Eukaryota,657
6429,Eukaryota,537
6430,Eukaryota,473
6431,Eukaryota,699
6432,Eukaryota,316
6433,Eukaryota,619
6434,Eukaryota,2610
6435,Eukaryota,2610
6436,Eukaryota,2610
6437,Eukaryota,2609
6438,Eukaryota,2466
6439,Eukaryota,2498
6440,Eukaryota,2064
6441,Eukaryota,647
6442,Eukaryota,646
6443,Eukaryota,399
6444,Eukaryota,156
6445,Eukaryota,285
6446,Eukaryota,379
6447,Eukaryota,710
6448,Eukaryota,896
6449,Eukaryota,245
6450,Eukaryota,226
6451,Eukaryota,360
6452,Eukaryota,225
6453,Eukaryota,124
6454,Eukaryota,1085
6455,Eukaryota,1983
6456,Eukaryota,225
6457,Eukaryota,313
6458,Eukaryota,475
6459,Eukaryota,1316
6460,Eukaryota,215
6461,Eukaryota,736
6462,Eukaryota,170
6463,Eukaryota,141
6464,Eukaryota,591
6465,Eukaryota,268
6466,Eukaryota,377
6467,Eukaryota,2519
6468,Eukaryota,620
6469,Eukaryota,311
6470,Eukaryota,586
6471,Eukaryota,2492
6472,Eukaryota,333
6473,Eukaryota,2607
6474,Eukaryota,1057
6475,Eukaryota,1057
6476,Eukaryota,1058
6477,Eukaryota,119
6478,Eukaryota,119
6479,Eukaryota,657
6480,Eukaryota,475
6481,Eukaryota,982
6482,Eukaryota,971
6483,Eukaryota,278
6484,Eukaryota,277
6485,Eukaryota,276
6486,Eukaryota,746
6487,Eukaryota,710
6488,Eukaryota,710
6489,Eukaryota,674
6490,Eukaryota,638
6491,Eukaryota,638
6492,Eukaryota,710
6493,Eukaryota,671
6494,Eukaryota,671
6495,Eukaryota,671
6496,Eukaryota,671
6497,Eukaryota,671
6498,Eukaryota,671
6499,Eukaryota,632
6500,Eukaryota,632
6501,Eukaryota,632
6502,Eukaryota,593
6503,Eukaryota,593
6504,Eukaryota,459
6505,Eukaryota,425
6506,Eukaryota,424
6507,Eukaryota,424
6508,Eukaryota,391
6509,Eukaryota,600
6510,Eukaryota,400
6511,Eukaryota,522
6512,Eukaryota,243
6513,Eukaryota,594
6514,Eukaryota,555
6515,Eukaryota,555
6516,Eukaryota,507
6517,Eukaryota,507
6518,Eukaryota,509
6519,Eukaryota,220
6520,Eukaryota,569
6521,Eukaryota,579
6522,Eukaryota,579
6523,Eukaryota,481
6524,Eukaryota,1081
6525,Eukaryota,1088
6526,Eukaryota,1088
6527,Eukaryota,1088
6528,Eukaryota,1088
6529,Eukaryota,230
6530,Eukaryota,2567
6531,Eukaryota,738
6532,Eukaryota,693
6533,Eukaryota,644
6534,Eukaryota,597
6535,Eukaryota,397
6536,Eukaryota,315
6537,Eukaryota,315
6538,Eukaryota,315
6539,Eukaryota,2498
6540,Eukaryota,2458
6541,Eukaryota,615
6542,Eukaryota,402
6543,Eukaryota,257
6544,Eukaryota,381
6545,Eukaryota,629
6546,Eukaryota,311
6547,Eukaryota,593
6548,Eukaryota,362
6549,Eukaryota,327
6550,Eukaryota,2334
6551,Eukaryota,699
6552,Eukaryota,697
6553,Eukaryota,665
6554,Eukaryota,657
6555,Eukaryota,656
6556,Eukaryota,654
6557,Eukaryota,630
6558,Eukaryota,580
6559,Eukaryota,566
6560,Eukaryota,537
6561,Eukaryota,461
6562,Eukaryota,362
6563,Eukaryota,318
6564,Eukaryota,471
6565,Eukaryota,524
6566,Eukaryota,2547
6567,Eukaryota,1139
6568,Eukaryota,1138
6569,Eukaryota,1138
6570,Eukaryota,1129
6571,Eukaryota,1084
6572,Eukaryota,1081
6573,Eukaryota,1081
6574,Eukaryota,1080
6575,Eukaryota,1079
6576,Eukaryota,1077
6577,Eukaryota,1024
6578,Eukaryota,1024
6579,Eukaryota,1023
6580,Eukaryota,1021
6581,Eukaryota,1005
6582,Eukaryota,964
6583,Eukaryota,906
6584,Eukaryota,311
6585,Eukaryota,570
6586,Eukaryota,2584
6587,Eukaryota,2583
6588,Eukaryota,2447
6589,Eukaryota,2549
6590,Eukaryota,2528
6591,Eukaryota,490
6592,Eukaryota,541
6593,Eukaryota,899
6594,Eukaryota,348
6595,Eukaryota,381
6596,Eukaryota,374
6597,Eukaryota,347
6598,Bacteria,979
6599,Bacteria,623
6600,Bacteria,618
6601,Bacteria,595
6602,Bacteria,1029
6603,Bacteria,421
6604,Bacteria,720
6605,Bacteria,398
6606,Bacteria,425
6607,Bacteria,796
6608,Bacteria,394
6609,Bacteria,151
6610,Bacteria,393
6611,Bacteria,400
6612,Bacteria,3467
6613,Eukaryota,187
6614,Eukaryota,187
6615,Eukaryota,254
6616,Eukaryota,109
6617,Eukaryota,211
6618,Eukaryota,287
6619,Eukaryota,123
6620,Bacteria,482
6621,Bacteria,825
6622,Bacteria,491
6623,Bacteria,584
6624,Bacteria,873
6625,Bacteria,484
6626,Bacteria,353
6627,Bacteria,492
6628,Bacteria,691
6629,Bacteria,355
6630,Bacteria,303
6631,Bacteria,724
6632,Bacteria,352
6633,Bacteria,223
6634,Bacteria,1072
6635,Bacteria,698
6636,Bacteria,421
6637,Bacteria,1043
6638,Bacteria,1132
6639,Bacteria,265
6640,Bacteria,221
6641,Bacteria,136
6642,Bacteria,153
6643,Bacteria,108
6644,Bacteria,492
6645,Eukaryota,2569
6646,Eukaryota,2566
6647,Eukaryota,625
6648,Eukaryota,583
6649,Eukaryota,582
6650,Eukaryota,556
6651,Eukaryota,540
6652,Eukaryota,539
6653,Eukaryota,497
6654,Eukaryota,433
6655,Eukaryota,428
6656,Eukaryota,364
6657,Eukaryota,342
6658,Eukaryota,746
6659,Eukaryota,703
6660,Eukaryota,456
6661,Eukaryota,321
6662,Bacteria,1737
6663,Bacteria,641
6664,Bacteria,1690
6665,Bacteria,440
6666,Bacteria,441
6667,Bacteria,442
6668,Bacteria,440
6669,Bacteria,442
6670,Bacteria,440
6671,Bacteria,440
6672,Bacteria,439
6673,Bacteria,1497
6674,Bacteria,440
6675,Bacteria,440
6676,Bacteria,1502
6677,Bacteria,441
6678,Bacteria,165
6679,Bacteria,258
6680,Bacteria,1504
6681,Bacteria,441
6682,Bacteria,441
6683,Bacteria,442
6684,Bacteria,442
6685,Bacteria,1145
6686,Bacteria,442
6687,Bacteria,442
6688,Bacteria,440
6689,Bacteria,442
6690,Bacteria,442
6691,Bacteria,440
6692,Bacteria,143
6693,Bacteria,440
6694,Bacteria,1537
6695,Bacteria,442
6696,Bacteria,149
6697,Bacteria,1543
6698,Bacteria,1502
6699,Bacteria,440
6700,Bacteria,208
6701,Bacteria,440
6702,Bacteria,439
6703,Bacteria,438
6704,Bacteria,184
6705,Bacteria,440
6706,Bacteria,1503
6707,Bacteria,1543
6708,Bacteria,440
6709,Bacteria,612
6710,Bacteria,439
6711,Eukaryota,151
6712,Eukaryota,149
6713,Eukaryota,479
6714,Eukaryota,415
6715,Eukaryota,428
6716,Eukaryota,438
6717,Eukaryota,203
6718,Eukaryota,313
6719,Eukaryota,620
6720,Bacteria,50
6721,Eukaryota,118
6722,Eukaryota,117
6723,Eukaryota,158
6724,Eukaryota,202
6725,Eukaryota,477
6726,Eukaryota,401
6727,Eukaryota,420
6728,Eukaryota,705
6729,Eukaryota,695
6730,Eukaryota,674
6731,Eukaryota,863
6732,Eukaryota,352
6733,Eukaryota,705
6734,Eukaryota,395
6735,Eukaryota,2537
6736,Eukaryota,872
6737,Eukaryota,355
6738,Eukaryota,1218
6739,Eukaryota,1217
6740,Eukaryota,263
6741,Eukaryota,263
6742,Eukaryota,284
6743,Eukaryota,357
6744,Eukaryota,397
6745,Eukaryota,2096
6746,Eukaryota,273
6747,Eukaryota,794
6748,Eukaryota,354
6749,Eukaryota,155
6750,Eukaryota,531
6751,Eukaryota,362
6752,Eukaryota,972
6753,Eukaryota,776
6754,Eukaryota,215
6755,Eukaryota,114
6756,Eukaryota,114
6757,Eukaryota,344
6758,Eukaryota,227
6759,Eukaryota,2596
6760,Eukaryota,740
6761,Eukaryota,321
6762,Eukaryota,1246
6763,Eukaryota,233
6764,Eukaryota,2593
6765,Eukaryota,2568
6766,Eukaryota,742
6767,Eukaryota,700
6768,Eukaryota,622
6769,Eukaryota,537
6770,Eukaryota,536
6771,Eukaryota,493
6772,Eukaryota,429
6773,Eukaryota,361
6774,Eukaryota,321
6775,Eukaryota,402
6776,Eukaryota,2567
6777,Eukaryota,699
6778,Eukaryota,680
6779,Eukaryota,578
6780,Eukaryota,535
6781,Eukaryota,446
6782,Eukaryota,131
6783,Eukaryota,121
6784,Eukaryota,148
6785,Eukaryota,272
6786,Eukaryota,380
6787,Eukaryota,591
6788,Eukaryota,2494
6789,Eukaryota,2444
6790,Eukaryota,315
6791,Eukaryota,398
6792,Eukaryota,620
6793,Eukaryota,2438
6794,Eukaryota,362
6795,Bacteria,1422
6796,Bacteria,455
6797,Bacteria,1430
6798,Bacteria,1428
6799,Bacteria,1428
6800,Bacteria,1434
6801,Bacteria,612
6802,Eukaryota,345
6803,Eukaryota,131
6804,Eukaryota,121
6805,Eukaryota,117
6806,Eukaryota,148
6807,Eukaryota,753
6808,Eukaryota,5624
6809,Eukaryota,94
6810,Bacteria,751
6811,Bacteria,1451
6812,Bacteria,553
6813,Bacteria,574
6814,Bacteria,569
6815,Bacteria,741
6816,Bacteria,817
6817,Bacteria,743
6818,Bacteria,736
6819,Bacteria,730
6820,Bacteria,828
6821,Bacteria,845
6822,Bacteria,846
6823,Bacteria,1021
6824,Bacteria,1021
6825,Bacteria,846
6826,Bacteria,668
6827,Bacteria,845
6828,Bacteria,1021
6829,Bacteria,89
6830,Bacteria,1021
6831,Bacteria,780
6832,Bacteria,611
6833,Bacteria,747
6834,Bacteria,466
6835,Bacteria,582
6836,Bacteria,852
6837,Bacteria,744
6838,Bacteria,736
6839,Bacteria,743
6840,Bacteria,977
6841,Bacteria,647
6842,Bacteria,752
6843,Bacteria,642
6844,Bacteria,740
6845,Bacteria,572
6846,Eukaryota,346
6847,Eukaryota,131
6848,Eukaryota,121
6849,Eukaryota,124
6850,Eukaryota,148
6851,Eukaryota,346
6852,Eukaryota,174
6853,Eukaryota,682
6854,Eukaryota,506
6855,Eukaryota,174
6856,Eukaryota,685
6857,Eukaryota,685
6858,Eukaryota,168
6859,Eukaryota,89
6860,Eukaryota,285
6861,Eukaryota,123
6862,Eukaryota,192
6863,Eukaryota,687
6864,Eukaryota,106
6865,Eukaryota,72
6866,Eukaryota,238
6867,Eukaryota,123
6868,Eukaryota,123
6869,Eukaryota,123
6870,Eukaryota,123
6871,Eukaryota,168
6872,Eukaryota,168
6873,Eukaryota,103
6874,Eukaryota,156
6875,Eukaryota,118
6876,Eukaryota,825
6877,Eukaryota,1126
6878,Eukaryota,391
6879,Eukaryota,656
6880,Eukaryota,507
6881,Eukaryota,488
6882,Eukaryota,354
6883,Eukaryota,358
6884,Eukaryota,3869
6885,Eukaryota,457
6886,Eukaryota,614
6887,Eukaryota,89
6888,Eukaryota,101
6889,Eukaryota,48
6890,Eukaryota,104
6891,Eukaryota,104
6892,Eukaryota,104
6893,Eukaryota,104
6894,Eukaryota,104
6895,Eukaryota,104
6896,Eukaryota,104
6897,Eukaryota,104
6898,Eukaryota,104
6899,Eukaryota,104
6900,Eukaryota,536
6901,Eukaryota,536
6902,Eukaryota,536
6903,Eukaryota,536
6904,Eukaryota,536
6905,Eukaryota,536
6906,Eukaryota,536
6907,Eukaryota,536
6908,Eukaryota,536
6909,Eukaryota,536
6910,Eukaryota,687
6911,Eukaryota,687
6912,Eukaryota,286
6913,Eukaryota,286
6914,Eukaryota,286
6915,Eukaryota,286
6916,Eukaryota,89
6917,Eukaryota,174
6918,Eukaryota,174
6919,Eukaryota,174
6920,Eukaryota,174
6921,Eukaryota,174
6922,Eukaryota,174
6923,Eukaryota,174
6924,Eukaryota,174
6925,Eukaryota,174
6926,Eukaryota,174
6927,Eukaryota,174
6928,Eukaryota,174
6929,Eukaryota,174
6930,Eukaryota,174
6931,Eukaryota,174
6932,Eukaryota,174
6933,Eukaryota,174
6934,Eukaryota,174
6935,Eukaryota,174
6936,Eukaryota,174
6937,Eukaryota,174
6938,Eukaryota,174
6939,Eukaryota,174
6940,Eukaryota,174
6941,Eukaryota,174
6942,Eukaryota,174
6943,Eukaryota,174
6944,Eukaryota,174
6945,Eukaryota,174
6946,Eukaryota,174
6947,Eukaryota,174
6948,Eukaryota,174
6949,Eukaryota,683
6950,Eukaryota,252
6951,Eukaryota,678
6952,Eukaryota,678
6953,Eukaryota,660
6954,Eukaryota,133
6955,Eukaryota,127
6956,Eukaryota,1347
6957,Eukaryota,1347
6958,Eukaryota,132
