,species,length
306,Bacteria,201
307,Bacteria,507
308,Bacteria,743
309,Bacteria,897
310,Bacteria,652
311,Bacteria,674
312,Bacteria,598
313,Bacteria,778
314,Bacteria,575
315,Bacteria,933
316,Bacteria,535
317,Bacteria,724
318,Bacteria,1922
319,Bacteria,508
320,Bacteria,1875
321,Bacteria,885
322,Bacteria,558
323,Bacteria,607
324,Bacteria,456
325,Bacteria,509
326,Bacteria,766
327,Bacteria,688
328,Bacteria,496
329,Bacteria,510
330,Bacteria,590
331,Bacteria,537
332,Bacteria,536
333,Bacteria,559
334,Bacteria,605
335,Bacteria,82
336,Bacteria,137
337,Bacteria,725
338,Bacteria,684
339,Bacteria,481
340,Bacteria,592
341,Bacteria,521
342,Bacteria,340
343,Bacteria,365
344,Bacteria,622
345,Bacteria,731
346,Bacteria,587
347,Bacteria,1070
348,Bacteria,1101
349,Eukaryota,346
350,Eukaryota,131
351,Eukaryota,121
352,Eukaryota,120
353,Eukaryota,127
354,Eukaryota,346
355,Eukaryota,211
356,Eukaryota,131
357,Eukaryota,121
358,Eukaryota,120
359,Eukaryota,148
360,Eukaryota,345
361,Bacteria,258
362,Bacteria,258
363,Bacteria,502
364,Bacteria,470
365,Bacteria,478
366,Bacteria,474
367,Bacteria,616
368,Bacteria,468
369,Bacteria,466
370,Bacteria,474
371,Bacteria,678
372,Bacteria,259
373,Bacteria,477
374,Bacteria,480
375,Bacteria,346
376,Bacteria,474
377,Bacteria,473
378,Bacteria,488
379,Bacteria,479
380,Bacteria,585
381,Bacteria,483
382,Bacteria,587
383,Bacteria,940
384,Bacteria,474
385,Bacteria,690
386,Bacteria,553
387,Bacteria,690
388,Bacteria,470
389,Bacteria,477
390,Bacteria,478
391,Bacteria,691
392,Bacteria,661
393,Bacteria,477
394,Bacteria,89
395,Bacteria,260
396,Bacteria,297
397,Bacteria,253
398,Bacteria,242
399,Bacteria,254
400,Bacteria,231
401,Bacteria,470
402,Bacteria,480
403,Bacteria,940
404,Bacteria,488
405,Bacteria,502
406,Bacteria,477
407,Bacteria,616
408,Bacteria,940
409,Bacteria,478
410,Bacteria,1123
411,Bacteria,553
412,Bacteria,587
413,Bacteria,475
414,Bacteria,477
415,Bacteria,470
416,Bacteria,470
417,Eukaryota,789
418,Eukaryota,290
419,Bacteria,491
420,Bacteria,1153
421,Bacteria,1202
422,Bacteria,210
423,Bacteria,349
424,Bacteria,837
425,Bacteria,210
426,Bacteria,710
427,Bacteria,710
428,Bacteria,837
429,Bacteria,1423
430,Bacteria,929
431,Bacteria,1441
432,Bacteria,412
433,Bacteria,1329
434,Eukaryota,145
435,Eukaryota,143
436,Bacteria,634
437,Bacteria,145
438,Bacteria,332
439,Bacteria,412
440,Bacteria,710
441,Bacteria,227
442,Bacteria,722
443,Bacteria,725
444,Bacteria,1025
445,Bacteria,821
446,Bacteria,545
447,Bacteria,606
448,Bacteria,1112
449,Bacteria,461
450,Bacteria,582
451,Bacteria,694
452,Bacteria,1377
453,Bacteria,695
454,Bacteria,1252
455,Bacteria,693
456,Bacteria,1382
457,Bacteria,697
458,Bacteria,482
459,Bacteria,760
460,Bacteria,466
461,Bacteria,452
462,Bacteria,604
463,Bacteria,918
464,Bacteria,540
465,Bacteria,815
466,Bacteria,1309
467,Bacteria,922
468,Bacteria,816
469,Bacteria,542
470,Bacteria,920
471,Bacteria,604
472,Bacteria,336
473,Bacteria,460
474,Bacteria,483
475,Bacteria,697
476,Bacteria,1383
477,Bacteria,693
478,Bacteria,1309
479,Bacteria,821
480,Bacteria,465
481,Bacteria,466
482,Bacteria,1409
483,Bacteria,695
484,Bacteria,1014
485,Bacteria,821
486,Bacteria,539
487,Bacteria,606
488,Bacteria,959
489,Bacteria,694
490,Bacteria,922
491,Bacteria,1260
492,Bacteria,568
493,Bacteria,604
494,Bacteria,477
495,Bacteria,720
496,Bacteria,729
497,Bacteria,331
498,Bacteria,720
499,Bacteria,342
500,Bacteria,640
501,Eukaryota,118
502,Eukaryota,2569
503,Eukaryota,324
504,Eukaryota,2548
505,Eukaryota,783
506,Eukaryota,189
507,Eukaryota,2575
508,Eukaryota,2574
509,Eukaryota,2505
510,Eukaryota,2337
511,Eukaryota,318
512,Eukaryota,666
513,Eukaryota,654
514,Eukaryota,609
515,Eukaryota,598
516,Eukaryota,696
517,Eukaryota,534
518,Eukaryota,504
519,Eukaryota,490
520,Eukaryota,460
521,Eukaryota,392
522,Eukaryota,358
523,Eukaryota,738
524,Eukaryota,342
525,Eukaryota,2585
526,Eukaryota,728
527,Eukaryota,346
528,Eukaryota,131
529,Eukaryota,122
530,Eukaryota,125
531,Eukaryota,148
532,Eukaryota,346
533,Bacteria,229
534,Bacteria,808
535,Bacteria,805
536,Bacteria,435
537,Bacteria,1285
538,Bacteria,539
539,Bacteria,1447
540,Bacteria,1001
541,Bacteria,166
542,Bacteria,235
543,Bacteria,1459
544,Bacteria,1151
545,Eukaryota,840
546,Eukaryota,277
547,Eukaryota,428
548,Eukaryota,268
549,Eukaryota,395
550,Eukaryota,376
551,Eukaryota,1216
552,Eukaryota,1216
553,Eukaryota,345
554,Eukaryota,1442
555,Eukaryota,2542
556,Eukaryota,345
557,Eukaryota,312
558,Eukaryota,2556
559,Eukaryota,1127
560,Eukaryota,1126
561,Eukaryota,1126
562,Eukaryota,1125
563,Eukaryota,1069
564,Eukaryota,385
565,Eukaryota,1925
566,Eukaryota,1926
567,Eukaryota,1863
568,Eukaryota,2552
569,Eukaryota,2556
