,tname,S,T,C,V,L,I,M,P,G,A,F,Y,W,D,E,N,Q,H,K,R,B,J,Z
0,Total,8.003902265846913,8.017552018485734,2.090294256196116,7.124936366296343,7.488506848147043,5.0227181191386485,1.3804590141222626,5.3310461879969,8.707628191321186,8.557486925401035,2.917836065628973,3.2803783062015937,0.9342924960394672,6.553336438501731,5.264926064641621,5.518444664203457,3.4399360975104654,1.7754239270422525,4.892744813725374,3.698030671415097,5.411796200413966e-05,4.810485511479081e-05,1.8039320668046554e-05
1,Bacteria,7.754564604294081,8.697338938112491,0.6218146252552432,8.08340093017772,7.617694686380183,5.554269893338055,1.2923228771819275,4.315778866010076,9.134964194749811,10.037220253123213,2.785833082230889,3.183049599188718,0.844849359444801,7.221941965561557,4.7442130761407,5.910629569757454,3.001658371489951,1.081904671620737,4.994143819663502,3.122376742888291,1.9915593730650756e-05,9.957796865325378e-06,0.0
2,Eukaryota,8.410860305877165,6.992177106962217,4.34788630160448,5.664407321638208,7.298971407362109,4.186602705151088,1.5175523056044857,6.883167184504834,8.059640307265179,6.3145428684905465,3.1148154240730657,3.4258106997455253,1.0724489731539215,5.418027046586661,6.065054179501057,4.9122019250315185,4.117078872618274,2.8558014468281945,4.745409357341574,4.5972826614671005,0.0001077173146812083,0.0001077173146812083,4.6164563434803554e-05
3,Archaea,6.3046367772608765,6.188333929758192,2.922907826798221,5.614488011860335,6.588364603036655,6.197280302643014,1.2524922038750574,6.619037881498901,7.833188487296151,5.222125658197434,3.3165482337303818,3.6552323500843515,0.8537395838658556,15.181994785542662,5.610653852052554,5.413833648586473,3.4162363887326825,0.9342569398292521,4.066765502786156,2.8078830325647974,0.0,0.0,0.0
4,Viruses,6.072289156626506,4.819277108433735,1.4216867469879517,6.481927710843373,8.626506024096386,7.132530120481928,1.8795180722891567,4.602409638554217,6.0,5.253012048192771,4.843373493975903,4.36144578313253,1.6385542168674698,5.614457831325301,6.144578313253012,9.614457831325302,3.63855421686747,1.6867469879518073,7.253012048192771,2.9156626506024095,0.0,0.0,0.0
5,other sequences,8.046952340545891,7.04285108188375,4.030547305897327,5.260924904539669,7.495403761844152,4.2851081883750535,1.6829302786027436,6.957997454391175,8.584358647998869,7.198416065620139,3.8184132371658888,3.0688728609814735,1.4707962098713054,5.444774430773582,5.105359920803281,4.440673172111441,3.719417338424551,3.182011030971574,4.04468957714609,5.119502192052043,0.0,0.0,0.0
